Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
DOKUZ EYLÜL ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),İZMİR,16705,EA
BOĞAZİÇİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Felsefe (İngilizce) (4 Yıllık),İSTANBUL,17096,EA
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),İSTANBUL,18566,EA
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ANKARA,18707,EA
ANADOLU ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ESKİŞEHİR,20854,EA
İSTANBUL MEDENİYET ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),İSTANBUL,21937,EA
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ANKARA,22087,EA
AKDENİZ ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ANTALYA,23180,EA
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ESKİŞEHİR,24254,EA
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),ANKARA,25412,EA
TÜRK-ALMAN ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (Almanca) (4 Yıllık),İSTANBUL,25806,EA
BURSA ULUDAĞ ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),BURSA,26231,EA
SELÇUK ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),KONYA,28021,EA
EGE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),İZMİR,28306,EA
İSTANBUL ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce) (4 Yıllık),İSTANBUL,31221,EA
İZMİR DEMOKRASİ ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),İZMİR,32004,EA
ÇUKUROVA ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ADANA,32539,EA
KOCAELİ ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),KOCAELİ,34645,EA
İZMİR BAKIRÇAY ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),İZMİR,34689,EA
BALIKESİR ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),BALIKESİR,34742,EA
ERCİYES ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),KAYSERİ,35728,EA
HACETTEPE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),ANKARA,35817,EA
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),BOLU,35965,EA
GALATASARAY ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Felsefe (Fransızca) (4 Yıllık),İSTANBUL,36896,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Sosyoloji (İngilizce) (4 Yıllık),ANKARA,37351,EA
DOKUZ EYLÜL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),İZMİR,38185,EA
ONDOKUZ MAYIS ÜNİVERSİTESİ Ali Fuad Başgil Hukuk Fakültesi (Çarşamba) Akademik Kadro,Hukuk (Çarşamba) (4 Yıllık),SAMSUN,38555,EA
TÜRK-ALMAN ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Uluslararası İlişkiler (Almanca) (4 Yıllık),İSTANBUL,38746,EA
MARMARA ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (Almanca) (4 Yıllık),İSTANBUL,38794,EA
PAMUKKALE ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),DENİZLİ,39728,EA
KIRIKKALE ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),KIRIKKALE,43190,EA
SAKARYA ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),SAKARYA,43291,EA
YILDIZ TEKNİK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (İngilizce) (4 Yıllık),İSTANBUL,43517,EA
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),TOKAT,44403,EA
YILDIZ TEKNİK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (İngilizce) (4 Yıllık),İSTANBUL,47122,EA
ATATÜRK ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ERZURUM,47432,EA
BURSA ULUDAĞ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),BURSA,48227,EA
MARMARA ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,İşletme (İngilizce) (4 Yıllık),İSTANBUL,48624,EA
GAZİANTEP ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),GAZİANTEP,49709,EA
İNÖNÜ ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),MALATYA,50377,EA
ANKARA ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (4 Yıllık),ANKARA,52076,EA
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),TEKİRDAĞ,52593,EA
AKDENİZ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),ANTALYA,53001,EA
NECMETTİN ERBAKAN ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),KONYA,53004,EA
YALOVA ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),YALOVA,53603,EA
ANKARA ÜNİVERSİTESİ Eğitim Bilimleri Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),ANKARA,54315,EA
DİCLE ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),DİYARBAKIR,54631,EA
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ISPARTA,55776,EA
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Psikoloji (İngilizce) (4 Yıllık),ANKARA,56175,EA
ÇANKIRI KARATEKİN ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ÇANKIRI,56935,EA
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Psikoloji (İngilizce) (4 Yıllık),ANKARA,57259,EA
İSTANBUL MEDENİYET ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),İSTANBUL,58666,EA
SELÇUK ÜNİVERSİTESİ Hukuk Fakültesi (İÖ) Akademik Kadro,Hukuk (İÖ) (4 Yıllık),KONYA,58693,EA
ATATÜRK ÜNİVERSİTESİ Hukuk Fakültesi (İÖ) Akademik Kadro,Hukuk (İÖ) (4 Yıllık),ERZURUM,58772,EA
AFYON KOCATEPE ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),AFYONKARAHİSAR,59843,EA
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),ANKARA,60022,EA
HACETTEPE ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası İlişkiler (İngilizce) (4 Yıllık),ANKARA,60234,EA
ANADOLU ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),ESKİŞEHİR,61083,EA
HACETTEPE ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (İngilizce) (4 Yıllık),ANKARA,62124,EA
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Hasan Ali Yücel Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),İSTANBUL,62326,EA
MARMARA ÜNİVERSİTESİ Atatürk Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),İSTANBUL,62699,EA
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ KKTC Akademik Birim (Lefkoşa) Akademik Kadro,Hukuk (Burslu) (4 Yıllık),ANKARA,63006,EA
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ERZİNCAN,63694,EA
GAZİ ÜNİVERSİTESİ Gazi Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),ANKARA,63986,EA
TRABZON ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),TRABZON,64340,EA
GAZİ ÜNİVERSİTESİ Gazi Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),ANKARA,64561,EA
HACETTEPE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),ANKARA,64615,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Felsefe (İngilizce) (4 Yıllık),ANKARA,65097,EA
MARMARA ÜNİVERSİTESİ İktisat Fakültesi Akademik Kadro,İktisat (İngilizce) (4 Yıllık),İSTANBUL,65764,EA
EGE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),İZMİR,66182,EA
NECMETTİN ERBAKAN ÜNİVERSİTESİ Hukuk Fakültesi (İÖ) Akademik Kadro,Hukuk (İÖ) (4 Yıllık),KONYA,67465,EA
MARMARA ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce) (4 Yıllık),İSTANBUL,68986,EA
YILDIZ TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),İSTANBUL,69183,EA
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),İZMİR,69302,EA
EGE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),İZMİR,70607,EA
MARMARA ÜNİVERSİTESİ Atatürk Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),İSTANBUL,70634,EA
KIRKLARELİ ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),KIRKLARELİ,70940,EA
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),RİZE,71001,EA
İSTANBUL ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,İşletme (İngilizce) (4 Yıllık),İSTANBUL,71522,EA
ANKARA ÜNİVERSİTESİ Eğitim Bilimleri Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),ANKARA,71567,EA
KIRIKKALE ÜNİVERSİTESİ Hukuk Fakültesi (İÖ) Akademik Kadro,Hukuk (İÖ) (4 Yıllık),KIRIKKALE,71923,EA
ANADOLU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),ESKİŞEHİR,72530,EA
MARMARA ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,İşletme (Almanca) (4 Yıllık),İSTANBUL,73239,EA
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Hamidiye Yaşam Bilimleri Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),İSTANBUL,74163,EA
ONDOKUZ MAYIS ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),SAMSUN,74956,EA
ANKARA ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,İşletme (İngilizce) (4 Yıllık),ANKARA,75432,EA
ANADOLU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),ESKİŞEHİR,76248,EA
HACETTEPE ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,İç Mimarlık ve Çevre Tasarımı (4 Yıllık),ANKARA,76685,EA
HACETTEPE ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (İngilizce) (4 Yıllık),ANKARA,77140,EA
HACETTEPE ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (4 Yıllık),ANKARA,77360,EA
YILDIZ TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),İSTANBUL,77529,EA
DOKUZ EYLÜL ÜNİVERSİTESİ Buca Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),İZMİR,77792,EA
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Hasan Ali Yücel Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),İSTANBUL,77889,EA
DOKUZ EYLÜL ÜNİVERSİTESİ Buca Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),İZMİR,79851,EA
BURSA TEKNİK ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),BURSA,80787,EA
AKDENİZ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),ANTALYA,82157,EA
BURSA ULUDAĞ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),BURSA,83212,EA
BURSA ULUDAĞ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),BURSA,83674,EA
AKDENİZ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),ANTALYA,83802,EA
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Fen ve Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),ÇANAKKALE,84086,EA
ANKARA ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,Politika ve Ekonomi (İngilizce) (4 Yıllık),ANKARA,84284,EA
DİCLE ÜNİVERSİTESİ Ziya Gökalp Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),DİYARBAKIR,84902,EA
ÇUKUROVA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),ADANA,85039,EA
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),ESKİŞEHİR,85557,EA
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),ESKİŞEHİR,85761,EA
AYDIN ADNAN MENDERES ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),AYDIN,86487,EA
ABDULLAH GÜL ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Psikoloji (İngilizce) (4 Yıllık),KAYSERİ,86755,EA
ANKARA ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,Uluslararası İlişkiler (4 Yıllık),ANKARA,86757,EA
İSTANBUL MEDENİYET ÜNİVERSİTESİ Eğitim Bilimleri Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),İSTANBUL,87068,EA
SELÇUK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),KONYA,88267,EA
MERSİN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),MERSİN,88781,EA
ONDOKUZ MAYIS ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),SAMSUN,89072,EA
ÇUKUROVA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),ADANA,89123,EA
SAKARYA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),SAKARYA,89474,EA
İSTANBUL ÜNİVERSİTESİ İktisat Fakültesi Akademik Kadro,Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce) (4 Yıllık),İSTANBUL,90667,EA
KOCAELİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),KOCAELİ,91212,EA
ERCİYES ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),KAYSERİ,91480,EA
İZMİR BAKIRÇAY ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),İZMİR,91528,EA
GAZİANTEP ÜNİVERSİTESİ Gaziantep Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),GAZİANTEP,92345,EA
DOKUZ EYLÜL ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (4 Yıllık),İZMİR,92562,EA
İNÖNÜ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),MALATYA,92881,EA
TÜRK-ALMAN ÜNİVERSİTESİ Kültür ve Sosyal Bilimler Fakültesi Akademik Kadro,Sosyoloji (4 Yıllık),İSTANBUL,93802,EA
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),ÇANAKKALE,94782,EA
İZMİR DEMOKRASİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (İngilizce) (4 Yıllık),İZMİR,94974,EA
ONDOKUZ MAYIS ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),SAMSUN,95158,EA
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),MUĞLA,95929,EA
İZMİR BAKIRÇAY ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (İngilizce) (4 Yıllık),İZMİR,96436,EA
İZMİR DEMOKRASİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),İZMİR,97177,EA
ERCİYES ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),KAYSERİ,98216,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ ODTÜ Kuzey Kıbrıs Kampusu (KKTC-Güzelyurt) Akademik Kadro,Psikoloji (İngilizce) (Burslu) (4 Yıllık),ANKARA,98779,EA
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sınıf Öğretmenliği (4 Yıllık),VAN,99555,EA
SELÇUK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (4 Yıllık),KONYA,100560,EA
