Üniversite  ,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
KOCAELİ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KOCAELİ,10344,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Hamidiye Uluslararası Tıp Fakültesi  ,Uluslararası Tıp (6 Yıllık),İSTANBUL,10383,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ İzmir Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,10466,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi  ,Fizik (İngilizce) (4 Yıllık),İSTANBUL,10583,SAY
TÜRK-ALMAN ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (Almanca) (4 Yıllık),İSTANBUL,11029,SAY
MARMARA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,11345,SAY
İSTANBUL ÜNİVERSİTESİ Diş Hekimliği Fakültesi (İngilizce)  ,Diş Hekimliği (İngilizce) (5 Yıllık),İSTANBUL,11455,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Elektrik-Elektronik Fakültesi  ,Kontrol ve Otomasyon Mühendisliği (4 Yıllık),İSTANBUL,11505,SAY
İZMİR BAKIRÇAY ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),İZMİR,11539,SAY
MERSİN ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),MERSİN,11590,SAY
HACETTEPE ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (İngilizce) (4 Yıllık),ANKARA,11657,SAY
SELÇUK ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KONYA,11729,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Bursa Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,11855,SAY
ONDOKUZ MAYIS ÜNİVERSİTESİ Tıp Fakültesi (İngilizce)  ,Tıp (İngilizce) (6 Yıllık),SAMSUN,12009,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi  ,Moleküler Biyoloji ve Genetik (İngilizce) (4 Yıllık),İSTANBUL,12090,SAY
ERCİYES ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KAYSERİ,12497,SAY
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ÇANAKKALE,12900,SAY
PAMUKKALE ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),DENİZLİ,12943,SAY
İNÖNÜ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),MALATYA,13503,SAY
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),MANİSA,13563,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Adana Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,13774,SAY
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),BALIKESİR,14016,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ İşletme Fakültesi  ,İşletme Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,14029,SAY
TRAKYA ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),EDİRNE,14099,SAY
AYDIN ADNAN MENDERES ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),AYDIN,14406,SAY
GAZİANTEP ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),GAZİANTEP,14469,SAY
NECMETTİN ERBAKAN ÜNİVERSİTESİ Meram Tıp Fakültesi  ,Tıp (6 Yıllık),KONYA,14725,SAY
SAMSUN ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),SAMSUN,14727,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Elektrik-Elektronik Fakültesi  ,Elektrik Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,14730,SAY
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),MUĞLA,14957,SAY
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ISPARTA,15128,SAY
SAKARYA ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),SAKARYA,15215,SAY
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),İZMİR,15294,SAY
İZMİR DEMOKRASİ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),İZMİR,15862,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Kayseri Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,15899,SAY
GEBZE TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),KOCAELİ,15935,SAY
YALOVA ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),YALOVA,15960,SAY
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Tıp Fakültesi (İngilizce)  ,Tıp (İngilizce) (6 Yıllık),MUĞLA,16027,SAY
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),TEKİRDAĞ,16038,SAY
DİCLE ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),DİYARBAKIR,16281,SAY
KARADENİZ TEKNİK ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),TRABZON,16341,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Makine Fakültesi  ,Makine Mühendisliği (4 Yıllık),İSTANBUL,16356,SAY
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),BOLU,16464,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ Makine Fakültesi  ,Endüstri Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,16841,SAY
HACETTEPE ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),ANKARA,16878,SAY
BALIKESİR ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),BALIKESİR,17001,SAY
İNÖNÜ ÜNİVERSİTESİ Tıp Fakültesi (İngilizce)  ,Tıp (İngilizce) (6 Yıllık),MALATYA,17018,SAY
TÜRK-ALMAN ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (Almanca) (4 Yıllık),İSTANBUL,17047,SAY
KIRIKKALE ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KIRIKKALE,17074,SAY
ATATÜRK ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ERZURUM,17105,SAY
AMASYA ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),AMASYA,17108,SAY
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ANTALYA,17788,SAY
GAZİANTEP ÜNİVERSİTESİ Tıp Fakültesi (İngilizce)  ,Tıp (İngilizce) (6 Yıllık),GAZİANTEP,18199,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Metalurji ve Malzeme Mühendisliği (İngilizce) (4 Yıllık),ANKARA,18223,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi  ,Matematik Mühendisliği (4 Yıllık),İSTANBUL,18238,SAY
SİVAS CUMHURİYET ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),SİVAS,18415,SAY
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ Tayfur Ata Sökmen Tıp Fakültesi  ,Tıp (6 Yıllık),HATAY,18521,SAY
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),AFYONKARAHİSAR,18619,SAY
DÜZCE ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),DÜZCE,18719,SAY
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ZONGULDAK,18998,SAY
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),BİLECİK,19126,SAY
KIRKLARELİ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KIRKLARELİ,19376,SAY
ATATÜRK ÜNİVERSİTESİ Tıp Fakültesi (İngilizce)  ,Tıp (İngilizce) (6 Yıllık),ERZURUM,19516,SAY
FIRAT ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ELAZIĞ,19564,SAY
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KÜTAHYA,19761,SAY
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),VAN,19786,SAY
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),MALATYA,19838,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Trabzon Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,19841,SAY
ANKARA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),ANKARA,19854,SAY
ORDU ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ORDU,19939,SAY
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KAHRAMANMARAŞ,19980,SAY
UŞAK ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),UŞAK,20030,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi  ,Moleküler Biyoloji ve Genetik (İngilizce) (4 Yıllık),ANKARA,20033,SAY
KARABÜK ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KARABÜK,20525,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Erzurum Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,20603,SAY
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KARAMAN,20687,SAY
HARRAN ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ŞANLIURFA,21043,SAY
AKSARAY ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),AKSARAY,21061,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Gülhane Tıp Fakültesi  ,Tıp (Ankara) (Kız) (İçişleri Bakanlığı Adına) (6 Yıllık),ANKARA,21142,SAY
EGE ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),İZMİR,21281,SAY
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),RİZE,21386,SAY
GİRESUN ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),GİRESUN,21552,SAY
TÜRK-ALMAN ÜNİVERSİTESİ Mühendislik Fakültesi  ,Endüstri Mühendisliği (Almanca) (4 Yıllık),İSTANBUL,21579,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Elektrik-Elektronik Fakültesi  ,Elektrik Mühendisliği (4 Yıllık),İSTANBUL,21623,SAY
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),TOKAT,21730,SAY
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KIRŞEHİR,21802,SAY
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),NİĞDE,21868,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Gülhane Tıp Fakültesi  ,Tıp (Ankara) (Kız) (Milli Savunma Bakanlığı Adına) (6 Yıllık),ANKARA,21955,SAY
ADIYAMAN ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ADIYAMAN,22037,SAY
KASTAMONU ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KASTAMONU,22049,SAY
İSTANBUL ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),İSTANBUL,22061,SAY
HİTİT ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ÇORUM,22161,SAY
SİİRT ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),SİİRT,22187,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,İnşaat Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,22188,SAY
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),AĞRI,22351,SAY
YOZGAT BOZOK ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),YOZGAT,22439,SAY
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ERZİNCAN,22592,SAY
ANKARA ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),ANKARA,22802,SAY
KAFKAS ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),KARS,22835,SAY
MARMARA ÜNİVERSİTESİ Diş Hekimliği Fakültesi (İngilizce)  ,Diş Hekimliği (İngilizce) (5 Yıllık),İSTANBUL,23203,SAY
GAZİ ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),ANKARA,23468,SAY
EGE ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),İZMİR,23586,SAY
ANKARA ÜNİVERSİTESİ Diş Hekimliği Fakültesi (İngilizce)  ,Diş Hekimliği (İngilizce) (5 Yıllık),ANKARA,23593,SAY
AKDENİZ ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),ANTALYA,23775,SAY
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Diş Hekimliği Fakültesi (İngilizce)  ,Diş Hekimliği (İngilizce) (5 Yıllık),İSTANBUL,23819,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ Makine Fakültesi  ,Endüstri Mühendisliği (4 Yıllık),İSTANBUL,24127,SAY
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),ESKİŞEHİR,24334,SAY
DOKUZ EYLÜL ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),İZMİR,24354,SAY
TÜRK-ALMAN ÜNİVERSİTESİ Mühendislik Fakültesi  ,Makine Mühendisliği (Almanca) (4 Yıllık),İSTANBUL,24672,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Hamidiye Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),İSTANBUL,25311,SAY
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),İZMİR,25345,SAY
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),ANKARA,25350,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Kimya Mühendisliği (İngilizce) (4 Yıllık),ANKARA,25494,SAY
ÇUKUROVA ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),ADANA,25506,SAY
BURSA ULUDAĞ ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),BURSA,25619,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Gülhane Diş Hekimliği Fakültesi (Ankara)  ,Diş Hekimliği (Ankara) (5 Yıllık),ANKARA,25721,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Gülhane Tıp Fakültesi  ,Tıp (Ankara) (Erkek) (İçişleri Bakanlığı Adına) (6 Yıllık),ANKARA,25969,SAY
DOKUZ EYLÜL ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),İZMİR,26098,SAY
TÜRK-ALMAN ÜNİVERSİTESİ Mühendislik Fakültesi  ,Mekatronik Mühendisliği (Almanca) (4 Yıllık),İSTANBUL,26122,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ Elektrik-Elektronik Fakültesi  ,Elektronik ve Haberleşme Mühendisliği (4 Yıllık),İSTANBUL,26123,SAY
ONDOKUZ MAYIS ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),SAMSUN,26170,SAY
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Diş Hekimliği Fakültesi (İngilizce)  ,Diş Hekimliği (İngilizce) (5 Yıllık),İZMİR,26623,SAY
GAZİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (İngilizce) (4 Yıllık),ANKARA,26758,SAY
SELÇUK ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),KONYA,26811,SAY
İSTANBUL MEDENİYET ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),İSTANBUL,26845,SAY
KOCAELİ ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),KOCAELİ,27043,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Gülhane Diş Hekimliği Fakültesi (Ankara) (Kız) (İçişleri Bakanlığı Adına)  ,Diş Hekimliği (Ankara) (Kız) (İçişleri Bakanlığı Adına) (5 Yıllık),ANKARA,27198,SAY
ERCİYES ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),KAYSERİ,27343,SAY
TÜRK-ALMAN ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (Almanca) (4 Yıllık),İSTANBUL,27424,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi  ,Kimya (İngilizce) (4 Yıllık),İSTANBUL,27676,SAY
AYDIN ADNAN MENDERES ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),AYDIN,27896,SAY
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),ÇANAKKALE,27915,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi  ,Moleküler Biyoloji ve Genetik (İngilizce) (4 Yıllık),İSTANBUL,27971,SAY
İZMİR DEMOKRASİ ÜNİVERSİTESİ Diş Hekimliği Fakültesi  ,Diş Hekimliği (5 Yıllık),İZMİR,28159,SAY
